0.0598,14,3.41,20.4,17.7,0.0158,2,4040000
0.0843,37,1.5,16,69.4,0.0258,2,4270000
0.0505,54,3.96,17.2,34.5,0.0194,2,4320000
0.0572,95,4.59,12.8,58.7,0.0161,2,3070000
0.0297,70,3.93,12.6,73.4,0.0166,2,3070000
0.0541,85,4.39,13.4,19.8,0.0103,2,2950000
0.026,31,1.1,21.6,98.3,0.0294,2,4720000
0.0468,33,2.65,22.5,39.7,0.0237,2,4870000
0.0144,40,2.57,17.6,51.1,0.0243,2,4610000
0.0363,81,1.68,12.5,94.2,0.0127,2,2230000
0.0878,90,2.14,14.6,96.8,0.024,2,3760000
0.0754,16,2.7,21.2,89.6,0.0182,2,2820000
0.0149,23,3.03,25.7,80,0.0164,2,2950000
0.092,20,3.33,19.7,29.5,0.0163,2,3580000
0.0759,45,3.21,13,38.3,0.0212,2,4310000
0.0926,97,3.91,13.9,10.9,0.0215,2,5680000
0.0391,18,4.34,23.2,81.7,0.0143,2,2580000
0.0648,53,1.26,19.6,48.1,0.013,2,2780000
0.0192,22,4.95,22.4,15.4,0.027,2,6910000
0.0801,70,2.89,16.4,40.1,0.0202,2,4130000
0.0606,65,2.4,18,61,0.0186,2,3450000
0.0904,39,4.29,15.6,42.6,0.0282,2,5180000
0.0546,29,4.84,17.6,26.5,0.0251,2,5610000
0.0342,44,2.17,16.7,72.5,0.017,2,3290000
0.0953,23,2.09,24.4,23.6,0.0206,2,4530000
0.029,90,4.86,12.3,88.6,0.0285,2,4620000
0.0717,57,4.34,14.6,70.9,0.0254,2,4290000
0.0311,36,3.33,18.4,55.5,0.0218,2,4220000
0.0155,74,2.18,13.4,32.6,0.0192,2,4520000
0.0384,58,1.36,15.8,37,0.0115,2,2760000
0.014733,16,3.3776,23.4422,12.7508,0.019984,2,5740000
0.028229,14,2.599292,26.97987,21.34335,0.029678,2,6870000
0.038817,34,4.40714,23.00472,98.07826,0.01245,2,2210000
0.090216,22,3.82138,18.91434,93.99021,0.012195,2,2060000
0.03527,68,2.808682,12.70513,83.10488,0.01086,2,2050000
0.054074,35,1.342178,18.10622,55.65855,0.027633,2,4950000
0.024442,51,1.667628,16.29317,24.61152,0.011689,2,3380000
0.027817,41,4.457851,18.88111,81.13607,0.010567,2,2090000
0.050898,47,1.603746,15.99125,72.09084,0.018367,2,3240000
0.066398,59,1.818621,14.28824,87.45836,0.02405,2,4060000
0.091338,98,3.190464,12.32234,78.48976,0.025125,2,4120000
0.094237,64,4.893822,12.54284,63.38709,0.016651,2,2990000
0.088253,78,4.311482,14.33376,66.5262,0.029268,2,4880000
0.054962,87,2.696018,12.35558,80.88611,0.01267,2,2340000
0.093294,33,4.028395,16.18628,76.06661,0.020678,2,3430000
0.079323,90,1.600802,11.74562,33.57856,0.027851,2,5650000
0.076341,61,2.530275,15.65266,52.89374,0.011415,2,2300000
0.030079,93,3.375841,12.75246,73.07689,0.016129,2,3110000
0.055504,38,3.66713,16.45546,49.95432,0.015917,2,3270000
0.082641,44,2.714163,15.37565,30.45366,0.023539,2,5020000
0.046173,45,4.502001,15.53791,44.46406,0.029017,2,5640000
0.055034,17,1.275662,29.55909,64.73606,0.024306,2,4290000
0.042079,68,1.570149,17.1952,47.13437,0.023344,2,4560000
0.036105,44,1.688633,20.57283,18.90012,0.011057,2,3310000
0.029071,88,1.640308,13.86174,53.68218,0.011201,2,2430000
0.052973,46,3.762798,14.40299,79.02542,0.016457,2,2910000
0.053347,31,1.098315,21.29935,26.26325,0.023596,2,5300000
0.026531,15,1.900131,23.11972,57.13517,0.017045,2,3370000
0.018019,29,2.550816,21.0302,90.17195,0.018523,2,3280000
0.065118,18,2.041872,20.38152,31.75381,0.011783,2,2800000
